id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35676793,"Proche Bdx centre spacieux parking, tram, terrasse",51679076,Elodie,Bruges,Bruges,44.87554,-0.60013,Entire home/apt,73,1,31,2019-08-02,1.27,2,200
35678664,Joli appart avec vue +parking(nouveaux chartrons),268392910,Claude,Bordeaux,Bordeaux Maritime,44.86312,-0.55844,Entire home/apt,85,2,9,2021-06-07,0.39,1,331
35678792,Studio indépendant proche hôp Pellegrin - Merignac,268385318,Céline,Merignac,Arlac,44.81702,-0.62976,Entire home/apt,50,10,5,2019-08-16,0.20,1,0
35679459,Maison proche art et métier,4187905,Marie Emeline,Pessac,Brivazac-Candau,44.80887,-0.60832,Entire home/apt,75,3,0,,,1,0
35680246,Chambre bleue calme avec vue sur le jardin arboré,239376923,Frédérique,Pessac,Magonty,44.78968,-0.71241,Private room,25,2,11,2019-09-20,0.44,1,9
35691839,Entre la place de la victoire et nansouty,99058888,Tony,Bordeaux,Nansouty - Saint Gens,44.8238,-0.57128,Entire home/apt,40,1,1,2019-09-27,0.05,1,0
35693536,Studio Pessac Centre,45579286,Sandrine,Pessac,Casino,44.80791,-0.62722,Entire home/apt,30,3,20,2019-07-01,0.81,2,288
35706793,"""la petite vigne"" un jardinet ensoleillė en ville",268586974,Florian,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83057,-0.57972,Entire home/apt,65,2,28,2020-08-22,1.14,1,0
35721147,Studio  Cosy proche centre Ville,228914074,Yves,Talence,Talence,44.81832,-0.58603,Entire home/apt,45,3,5,2019-08-19,0.21,1,0
35722568,Chambre privée proximité immédiate du tram,31321911,Mathias,Bordeaux,La Bastide,44.84765,-0.54291,Private room,16,2,6,2019-07-24,0.25,2,0
35731825,Kiss cat,265872732,Steve,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89762,-0.75135,Private room,60,1,0,,,2,365
35745781,"Maison familiale avec piscine, portes de Bordeaux",37317738,Ségolène,Pessac,Brivazac-Candau,44.8091,-0.61732,Entire home/apt,185,10,3,2020-08-22,0.13,2,8
35746816,Chambre privée type loft us au coeur de Bordeaux,5036309,Martin,Bordeaux,Bordeaux Sud,44.82628,-0.56566,Private room,150,1,7,2019-11-03,0.31,3,126
35747227,Chambres entre Garonne et Dordogne,268897592,Dominique,Ambs,Ambs,45.01107,-0.53089,Private room,80,1,5,2020-08-22,0.24,1,363
35747670,Maison avec piscine,12669762,Mathieu,Gradignan,Gradignan,44.76722,-0.61766,Entire home/apt,100,5,1,2019-08-17,0.04,1,0
35748759,"Appartement cosy de 50m2 + terrasse, centre ville",5630378,Chrystelle,Bordeaux,Centre ville (Bordeaux),44.84107,-0.59893,Entire home/apt,65,3,9,2019-08-22,0.37,1,0
35750962,espace lumineux pour séjour heureux,268724313,Marie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85087,-0.58694,Entire home/apt,60,2,4,2019-09-29,0.17,1,189
35753223,Appartement duplex hyper centre,87245629,Céline,Bordeaux,Centre ville (Bordeaux),44.83817,-0.58057,Entire home/apt,80,2,8,2019-07-31,0.32,1,0
35753228,Petit appartement cosy,106301734,Niie,Bordeaux,La Bastide,44.8491,-0.54522,Entire home/apt,72,1,41,2020-07-05,1.66,1,0
35753992,Studio conviviale. L’hôte est dans son intimité .,268954739,Cedric,Le Taillan-Mdoc,Le Taillan-Mdoc,44.90827,-0.6714,Private room,36,2,34,2020-03-10,1.53,1,13
35758510,Maison bordelaise avec piscine,24261870,Batiste,Bordeaux,Bordeaux Maritime,44.87175,-0.54705,Entire home/apt,200,2,4,2019-08-09,0.17,4,0
